No,학년,이수구분,학수번호,교과목명,학점,이론시간,실습시간,교양영역,강의시간(강의실),분반,담당교수,비고
232,전체,교선,HBLJ0004,여행과치유:여행으로행복해지기,3,3.0,0.0,,"일반(인간과사회) 월10,11,12(Z103)",1,손인수,"HUSS e-러닝 교과목/2~4학년만 수강가능, 통합플랫폼(https://portal.huss .ac.kr/)에서 별도 수강신청 진행"
233,전체,교선,HBLJ0005,게임으로배우는정치,3,3.0,0.0,,"일반(인간과사회) 토1,2,3(Z103)",1,손인수,"HUSS e-러닝 교과목/2~4학년만 수강가능, 통합플랫폼(https://portal.huss .ac.kr/)에서 별도 수강신청 진행"
234,전체,교선,HBLJ0006,안전관리의이해,3,3.0,0.0,,"일반(생활과건강) 수2,3,4(Z103)",1,손인수,"HUSS e-러닝 교과목/2~4학년만 수강가능, 통합플랫폼(https://portal.huss .ac.kr/)에서 별도 수강신청 진행"
235,전체,교선,HBLJ0008,인공지능과알고리듬사회,3,3.0,0.0,,"일반(인간과사회) 금2,3,4(Z103)",1,손인수,"HUSS e-러닝 교과목/2~4학년만 수강가능, 통합플랫폼(https://portal.huss .ac.kr/)에서 별도 수강신청 진행"
236,전체,교선,HBLJ0009,글로벌위기대응과AI기반지속가 능한생태계,3,3.0,0.0,,"일반(인간과사회) 금4,5,6(Z103)",1,"권기환,김효정,손인수","HUSS e-러닝 교과목/2~4학년만 수강가능, 통합플랫폼(https://portal.huss .ac.kr/)에서 별도 수강신청 진행"
237,전체,교선,HBLJ0010,디지털기술과AI발전에따른사회 서비스의변화,3,3.0,0.0,,"일반(인간과사회) 화10,11,12(Z103)",1,홍영준,"HUSS e-러닝 교과목/2~4학년만 수강가능, 통합플랫폼(https://portal.huss .ac.kr/)에서 별도 수강신청 진행"
238,전체,교선,HBLR1070,테니스,2,0.0,2.0,,"일반(체육과무용) 수7,8(K312) 수7,8(T123)",1,신제민,nan
239,전체,교선,HBLR2010,프랑스어입문,2,2.0,0.0,,"일반(글로벌언어와 문화) 목5,6(I206)",1,유진현,nan
240,전체,교선,HBLR2010,프랑스어입문,2,2.0,0.0,,"일반(글로벌언어와 문화) 수7,8(I212)",2,김정란,nan
241,전체,교선,HBLR2020,일본어입문,2,2.0,0.0,,"일반(글로벌언어와 문화) 수1,2(I110)",1,이이호시카즈야,nan
242,전체,교선,HBLR2020,일본어입문,2,2.0,0.0,,"일반(글로벌언어와 문화) 월1,2(I110)",2,김지연,nan
243,전체,교선,HBLR2020,일본어입문,2,2.0,0.0,,"일반(글로벌언어와 문화) 금1,2(I110)",3,박정원,nan
244,전체,교선,HBLR2030,독일어입문,2,2.0,0.0,,"일반(글로벌언어와 문화) 화3,4(I111)",1,김진숙,nan
245,전체,교선,HBLR2030,독일어입문,2,2.0,0.0,,"일반(글로벌언어와 문화) 수3,4(I111)",2,김진숙,nan
246,전체,교선,HBLR2040,중국어입문,2,2.0,0.0,,"일반(글로벌언어와 문화) 월3,4(I105)",1,김선화,nan
247,전체,교선,HBLR5009,도시를읽는즐거움:언어경관,3,3.0,0.0,,"일반(글로벌언어와 문화) 월4,5,6(L404)",1,박명수,nan
248,전체,교선,HBLR5026,대화와자기표현(유학생),2,2.0,0.0,,"일반(글로벌언어와 문화) 화2,3(I204)",1,서은아,유학생 전용
249,전체,교선,HBLR5032,뉴스영어읽기,3,3.0,0.0,,"일반(글로벌언어와 문화) 금4,5,6(E106)",1,김보경,nan
255,전체,1전선,HBOA1005,적정디자인&적정기술기반융복 합캡스톤디자인,2,1.0,1.0,,"월2,3(I208)",1,"백선욱,최주희",nan
1,1,1전선,HBEC0021,기초생명공학Ⅰ,3,3.0,0.0,,"수3(I310) 목1,2(I207)",1,이승호,원어강의
2,전체,1전선,HBEC0018,단백질 생화학,3,3.0,0.0,,"수5,6,7(I308)",1,이승호,nan
1,전체,1전선,HBEC0019,화학반응공학,3,3.0,0.0,,"월1,2,3(I311)",1,강문성,nan
2,전체,1전심,HBJG4143,에너지변환공학(실습),3,1.0,2.0,,"화1,2,3(C402) 화1,2,3(I110)",1,강문성,nan
3,전체,1전심,HBJG4143,에너지변환공학(실습),3,1.0,2.0,,"화4,5,6(C402) 화4,5,6(I107)",2,강문성,nan
1,전체,1전선,HBEC0030,일반화학II,3,3.0,0.0,,"화4(I209) 수5,6(I704)",1,강성민,nan
1,전체,1전선,HBHB4534,비즈니스영어독해,3,2.0,1.0,,"목7,8,9(I207)",1,이성범,nan
2,전체,1전선,HBHB4538,컨벤션영어,3,1.0,2.0,,"화5,6,7(E503)",1,하명정,nan
3,전체,1전심,HBHB4512,비즈니스스피킹,3,0.0,3.0,,"목3,4,5(E302)",1,강은경,nan
1,전체,1전선,HBHB4523,애니메이션더빙번역,3,2.0,1.0,,"화5,6,7(E106)",1,박주은,nan
1,3,1전심,HBIC4420,패션비지니스창업설계(캡스톤디 자인),3,1.0,2.0,,"목4,5,6(D219)",1,한아영,수강신청 1일차 주전공 외 수강제한
1,전체,1전심,HBKE0027,문화예술기획(캡스톤디자인),3,0.0,3.0,,"수4,5,6(A101A)",1,이동수,nan
2,전체,1전심,HBKE0027,문화예술기획(캡스톤디자인),3,0.0,3.0,,,,nan,2 미정
1,전체,1전선,HBJE3282,투자론,3,3.0,0.0,,"화2,3,4(L404)",1,김수은,nan
2,전체,1전선,HBJE4475,회계원리,3,3.0,0.0,,"화1,2,3(I311)",1,오동일,nan
3,전체,1전심,HBJP2257,금융공학,3,2.0,1.0,,"월1,2,3(I821)",1,신현준,nan
1,전체,1전선,HBEA0014,CMOS트랜지스터(PBL),3,2.0,1.0,,"수1,2,3(I505)",1,이종환,수강신청 1일차 주전공 외 수강제한
1,2,1전선,HBEA0026,인공지능기초,3,1.0,2.0,,"월1,2,3(I409)",1,김혜윤,수강신청 1일차 주전공 외 수강제한
2,2,1전선,HBEA0026,인공지능기초,3,1.0,2.0,,"월5,6,7(I409)",2,김혜윤,수강신청 1일차 주전공 외 수강제한
3,전체,1전심,HBEA0043,알고리즘코딩테스트,3,1.0,2.0,,"화1,2,3(I409)",1,김혜윤,수강신청 1일차 주전공 외 수강제한
1,전체,1전선,HBKI0038,모션그래픽(SW),3,1.0,2.0,,"수1,2,3(D422)",1,조일현,수강신청 1일차 주전공 외 수강제한
2,전체,1전선,HBKI0038,모션그래픽(SW),3,1.0,2.0,,"수5,6,7(D422)",2,조일현,수강신청 1일차 주전공 외 수강제한
1,전체,1전심,HBEA0040,Linux운영체제및시스템프로그래 밍(PBL),3,1.0,2.0,,"월1,2,3(I505)",1,김선희,수강신청 1일차 주전공 외 수강제한
2,전체,1전심,HBEA0040,Linux운영체제및시스템프로그래 밍(PBL),3,1.0,2.0,,"월5,6,7(I505)",2,김선희,수강신청 1일차 주전공 외 수강제한
1,전체,1전선,HBHB4538,컨벤션영어,3,1.0,2.0,,"화5,6,7(E503)",1,하명정,nan
2,전체,1전선,HBHE4368,독일어권기업문화론(캡스톤디자 인),3,3.0,0.0,,"목6,7,8(E201)",1,박정희,nan
1,전체,1전선,HBEA0031,ATmega시스템설계(IC-PBL),3,1.0,2.0,,"금7,8,9(I409)",1,박성현,수강신청 1일차 주전공 외 수강제한
1,전체,1전선,HBEA0027,Verilog기반디지털시스템설계(P BL),3,1.0,2.0,,"목1,2,3(I505)",1,김선희,수강신청 1일차 주전공 외 수강제한
2,전체,1전선,HBEA0027,Verilog기반디지털시스템설계(P BL),3,1.0,2.0,,"목5,6,7(I505)",2,김선희,수강신청 1일차 주전공 외 수강제한
1,전체,1전선,HBEB0017,기초로봇기구학및설계(PBL),3,1.0,2.0,,"수1,2,3(I404)",1,봉재환,수강신청 1일차 주전공외수강제한
2,전체,1전선,HBEB0017,기초로봇기구학및설계(PBL),3,1.0,2.0,,"목1,2,3(I404)",2,봉재환,수강신청 1일차 주전공외수강제한
1,전체,1전선,HBJQ0050,리눅스보안실습,3,1.0,2.0,,"화5,6,7(I619)",1,서창진,nan
2,전체,1전선,HBJQ0050,리눅스보안실습,3,1.0,2.0,,"수5,6,7(I619)",2,서창진,nan
3,전체,1전선,HBJQ0055,시스템보안,3,1.0,2.0,,"화5,6,7(I504)",1,국중진,수강신청 1일차 주전공외수강제한
4,전체,1전심,HBJQ0043,네트워크보안(PBL),3,1.0,2.0,,"월1,2,3(I204)",1,박진성,nan
5,전체,1전심,HBJQ0043,네트워크보안(PBL),3,1.0,2.0,,"월5,6,7(I204)",2,박진성,nan
1,전체,1전심,HBJQ0056,악성코드분석,3,1.0,2.0,,"수1,2,3(I619)",1,서창진,nan
1,전체,1전선,HBJQ0012,웹프로그래밍(정보보안공학과),3,1.0,2.0,,"월1,2,3(I619)",1,윤종호,수강신청 1일차 주전공외수강제한
2,전체,1전선,HBJQ0012,웹프로그래밍(정보보안공학과),3,1.0,2.0,,"월5,6,7(I619)",2,윤종호,수강신청 1일차 주전공외수강제한
1,전체,1전심,HBKI0067,AI융합실감콘텐츠프로젝트(캡스 톤디자인),3,1.0,2.0,,"목5,6,7(D421)",1,허영,수강신청 1일차 주전공 외 수강제한
1,전체,1전선,HBEB0029,로봇제어프로젝트,3,0.0,3.0,,"수5,6,7(I405)",1,염기원,수강신청 1일차 주전공외수강제한
2,전체,1전심,HBEB0008,로봇비전(IC-PBL),3,1.0,2.0,,"목5,6,7(I106)",1,봉재환,수강신청 1일차 주전공외수강제한
1,3,1전선,HBEB0008,로봇비전(IC-PBL),3,1.0,2.0,,"목5,6,7(I106)",1,봉재환,수강신청 1일차 주전공외수강제한
1,4,1전심,HBKI0051,3D그래픽실무,3,1.0,2.0,,"월6,7,8(D422)",1,조일현,수강신청 1일차 주전공 외 수강제한
2,전체,1MD,HBVE0002,게임엔진2,3,1.0,2.0,,"화1,2,3(D422)",1,공지훈,nan
1,전체,1MD,HBVF0001,드라마투르기 분석,3,0.0,3.0,,"월7,8,9(I111)",1,주소형,nan
1,3,1전심,HBJB4466,AI식재설계및실습,3,1.0,2.0,,"목5,6,7(B307)",1,강현경,수강신청 1일차 주전공 외 수강제한
2,3,1전심,HBJB4467,디지털설계스튜디오IV(CCS스마 트도시계획(캡스톤디자인)),3,1.0,2.0,,"월5,6,7(B306)",1,김태한,수강신청 1일차 주전공 외 수강제한 디자인대학 디자인학부 AI영상디자인연계전공
1,1,1전선,HBIT0005,3D모델링Ⅱ,3,1.0,2.0,,"화5,6,7(F305)",1,"김국토,김원재",nan
2,1,1전선,HBIT0005,3D모델링Ⅱ,3,1.0,2.0,,"목5,6,7(F305)",2,"김국토,김원재",nan
3,2,1전선,HBIA3141,정보인터랙션디자인기초,3,1.0,2.0,,"목5,6,7(L203)",1,손우성,nan
4,2,1전선,HBIA3141,정보인터랙션디자인기초,3,1.0,2.0,,"금1,2,3(D425)",2,손우성,nan
5,2,1전선,HBIA3141,정보인터랙션디자인기초,3,1.0,2.0,,"월1,2,3(D404)",3,이승연,nan
6,2,1전선,HBIA4335,모션그래픽스,3,1.0,2.0,,"목1,2,3(D404)",1,박소연,수강신청 1일차 주전공외 수강신청 제한
7,2,1전선,HBIA4335,모션그래픽스,3,1.0,2.0,,"목5,6,7(D404)",2,박소연,수강신청 1일차 주전공외 수강신청 제한
8,2,1전선,HBIA4335,모션그래픽스,3,1.0,2.0,,"금5,6,7(D404)",3,김주신,수강신청 1일차 주전공외 수강신청 제한
9,2,1전선,HBIA4335,모션그래픽스,3,1.0,2.0,,"금8,9,10(D404)",4,김주신,수강신청 1일차 주전공외 수강신청 제한
10,2,1전선,HBIT0015,VR영상미디어디자인,3,1.0,2.0,,"월5,6,7(F301)",1,김원재,nan
11,3,1전선,HBIA4604,정보인터랙션디자인워크숍,3,1.0,2.0,,"화1,2,3(D404)",1,손우성,수강신청 1일차 주전공외 수강신청 제한
12,3,1전선,HBIA4604,정보인터랙션디자인워크숍,3,1.0,2.0,,"월5,6,7(D404)",2,이승연,수강신청 1일차 주전공외 수강신청 제한
13,3,1전선,HBIA4604,정보인터랙션디자인워크숍,3,1.0,2.0,,"월8,9,10(D404)",3,이승연,수강신청 1일차 주전공외 수강신청 제한
14,3,1전선,HBIT0021,3D영상제작Ⅱ,3,1.0,2.0,,"화1,2,3(F301)",1,"이상원,조혜정",nan
15,4,1전선,HBIA4605,AI포트폴리오 워크숍,3,1.0,2.0,,"수1,2,3(D404)",1,조혜정,nan
16,전체,1전선,HBIV0006,AI그래픽스,3,1.0,2.0,,"금1,2,3(D404)",1,김주신,nan
1,전체,1MD,HBVH0002,실전융합창업프로젝트,3,1.0,2.0,,"화7,8,9(K315)",1,이희화,nan
1,2,1전심,HBHA4394,AI 시대의 시 감상과 뉴미디어 표현,3,1.0,2.0,,"목3,4,5(C301)",1,김지윤,nan
2,전체,1MD,HBVG0001,"디지털플랫폼 시대의 기술, 언어, 예술",3,3.0,0.0,,"수5,6,7(E402)",1,정의진,nan
