No,학년,이수구분,학수번호,교과목명,학점,이론시간,실습시간,교양영역,강의시간(강의실),분반,담당교수,비고
87,1,교선,HBLG9050,교양과인성(디자인학부),1,1.0,0.0,기초(교양과인성),금5(D324),6,서동진,nan
88,1,교선,HBLG9051,교양과인성(사진영상미디어전공 ),1,1.0,0.0,기초(교양과인성),수8(A211),2,임재문,nan
89,1,교선,HBLG9052,교양과인성(글로벌금융경영학부 ),1,1.0,0.0,기초(교양과인성),금4(E405),1,김수은,nan
90,1,교선,HBLG9052,교양과인성(글로벌금융경영학부 ),1,1.0,0.0,기초(교양과인성),수8(E405),2,최신혜,nan
91,1,교선,HBLG9053,교양과인성(소프트웨어학과),1,1.0,0.0,기초(교양과인성),월11(Z101),1,백선욱,nan
92,1,교선,HBLG9054,교양과인성(전자공학과),1,1.0,0.0,기초(교양과인성),금3(Z101),1,이흥주,nan
93,1,교선,HBLG9054,교양과인성(전자공학과),1,1.0,0.0,기초(교양과인성),화9(Z101),2,정민철,nan
94,1,교선,HBLG9055,교양과인성(휴먼지능로봇공학과 ),1,1.0,0.0,기초(교양과인성),금9(I503) 금9(Z101),1,염기원,nan
95,1,교선,HBLG9056,교양과인성(시스템반도체공학과 ),1,1.0,0.0,기초(교양과인성),화10(Z102),1,김선희,nan
96,1,교선,HBLG9057,교양과인성(그린화학공학과),1,1.0,0.0,기초(교양과인성),월11(Z201),2,박진수,nan
97,1,교선,HBLG9060,교양과인성(AR·VR미디어디자인 전공),1,1.0,0.0,기초(교양과인성),월9(Z101),1,이상원,nan
98,3,일선,HBRT3002,안전및조직관리사례연구,3,6.0,0.0,,"수7,8(M103) 금6,7,8,9(M103)",1,이현철,nan
99,4,일선,HBRT4002,조직리더십사례연구,3,6.0,0.0,,"목7,8(M105) 금6,7,8,9(M105)",1,권길호,nan
100,전체,교필,HBLA0272,문화다양성과미디어,3,3.0,0.0,핵심(다양성존중역 량),"금1,2,3(I211)",1,정의진,nan
101,전체,교필,HBLA5052,융합창의수학,2,2.0,0.0,핵심(융복합역량),"월3,4(I209)",1,김신욱,nan
102,전체,교필,HBLA5052,융합창의수학,2,2.0,0.0,핵심(융복합역량),"월5,6(I209)",2,김신욱,nan
103,전체,교필,HBLA5063,호모엠파티쿠스(고통받는인간),2,2.0,0.0,핵심(윤리실천역량),"월3,4(I306)",1,최종술,nan
104,전체,교필,HBLA5063,호모엠파티쿠스(고통받는인간),2,2.0,0.0,핵심(윤리실천역량),"월5,6(I306)",2,최종술,nan
105,전체,교필,HBLB5058,문화감수성의이해와실천,3,3.0,0.0,핵심(다양성존중역 량),"월1,2,3(I210)",1,장지현,nan
106,전체,교필,HBLB5058,문화감수성의이해와실천,3,3.0,0.0,핵심(다양성존중역 량),"월6,7,8(I210)",2,장지현,nan
107,전체,교필,HBLB5060,상상속의아이디어,2,2.0,0.0,핵심(창의적문제해 결역량),"목5,6(I212)",1,이진영,nan
108,전체,교필,HBLB5072,이미지시대의테크놀로지와예술,3,3.0,0.0,핵심(전문지식탐구 역량),"화5,6,7(I307)",1,강혜승,nan
109,전체,교필,HBLB5075,컴퓨테이셔널씽킹,2,2.0,0.0,핵심(창의적문제해 결역량),"월1,2(I307)",1,이재학,nan
110,전체,교필,HBLB5075,컴퓨테이셔널씽킹,2,2.0,0.0,핵심(창의적문제해 결역량),"월3,4(I307)",2,이재학,nan
111,전체,교필,HBLB5080,K-culture를통해보는예술의산업 가치,3,3.0,0.0,핵심(융복합역량),"화1,2,3(I307)",1,강혜승,nan
112,전체,교필,HBLD5009,영화속의건축여행,3,3.0,0.0,핵심(융복합역량),"월4,5,6(I311)",1,심형근,nan
113,전체,교필,HBLD5009,영화속의건축여행,3,3.0,0.0,핵심(융복합역량),"월7,8,9(I311)",2,심형근,nan
114,전체,교필,HBLD5031,창의적디자인상상,3,3.0,0.0,핵심(창의적문제해 결역량),"화1,2,3(I112)",1,김희균,nan
115,전체,교필,HBLG2017,과학기술자의직업윤리,3,3.0,0.0,핵심(윤리실천역량),"수1,2,3(I306)",1,배동성,nan
116,전체,교선,HBLA0051,실용한자한문,2,2.0,0.0,,"일반(글로벌언어와 문화) 금3,4(I209)",1,이희영,nan
117,전체,교선,HBLA0052,프랑스사회와문화,3,3.0,0.0,,"일반(글로벌언어와 문화) 수5,6,7(I209)",1,유진현,nan
118,전체,교선,HBLA0072,일본인과일본문화,3,3.0,0.0,,"일반(글로벌언어와 문화) 화3,4,5(I207)",1,김지연,nan
119,전체,교선,HBLA0161,스크린영어,2,2.0,0.0,,"일반(글로벌언어와 문화) 화3,4(I306)",1,이성범,nan
120,전체,교선,HBLA0322,TOEIC,2,2.0,0.0,,"일반(글로벌언어와 문화) 화4,5(I305)",1,강은경,nan
121,전체,교선,HBLA0332,젠더와문화,3,3.0,0.0,,"일반(인간과사회) 목1,2,3(I307)",1,박유미,nan
122,전체,교선,HBLA0364,협력적의사소통,3,3.0,0.0,균형(인문),"화6,7,8(I308)",1,임혜원,nan
123,전체,교선,HBLA5008,언어와사회,3,3.0,0.0,균형(인문),"수1,2,3(I209)",1,임혜원,nan
124,전체,교선,HBLA5009,문학속의사랑과인간,3,3.0,0.0,,"일반(언어와문화) 수4,5,6(I212)",1,이희원,nan
125,전체,교선,HBLA5011,문학과영화,3,3.0,0.0,,"일반(언어와문화) 화8,9,10(I307)",1,박정희,nan
126,전체,교선,HBLA5021,문학과삶의철학,3,3.0,0.0,균형(인문),"목5,6,7(I209)",1,최종술,nan
127,전체,교선,HBLA5023,풍경이있는한국문학기행,3,3.0,0.0,,"일반(언어와문화) 화1,2,3(I209)",1,김한식,nan
128,전체,교선,HBLA5027,영화로읽는러시아·중앙아시아,3,3.0,0.0,,"일반(글로벌언어와 문화) 금4,5,6(Z101)",1,이희원,E-러닝 교과목/3~4학년만 수강 가능
129,전체,교선,HBLA5035,현대사회와윤리,2,2.0,0.0,균형(사회),"화9,10(Z101)",1,김현주,E-러닝 교과목/3~4학년만 수강 가능
130,전체,교선,HBLA5041,문명속의수학,2,2.0,0.0,균형(브리지),"목7,8(Z101)",1,김신욱,E-러닝 교과목/3~4학년만 수강 가능
131,전체,교선,HBLA5053,인간사랑의이해,2,2.0,0.0,균형(인문),"화5,6(I306)",1,이동수,nan
132,전체,교선,HBLA5054,상명Career Design,2,2.0,0.0,,일반(커리어디자인),"수7,8(I211)",1,조금주
133,전체,교선,HBLA5055,Why！디자인인가？,2,2.0,0.0,,일반(예술과디자인),"수1,2(I308)",1,문희라
134,전체,교선,HBLA5055,Why！디자인인가？,2,2.0,0.0,,일반(예술과디자인),"수3,4(I308)",2,문희라
135,전체,교선,HBLA5056,청소년인권,3,3.0,0.0,,"일반(인간과사회) 화4,5,6(I211)",1,조금주,nan
136,전체,교선,HBLA5059,명작속의캐릭터와공감인문학,2,2.0,0.0,균형(인문),"목5,6(I308)",1,김한식,nan
137,전체,교선,HBLA5059,명작속의캐릭터와공감인문학,2,2.0,0.0,균형(인문),"월2,3(I308)",2,김한식,nan
138,전체,교선,HBLA5064,여행으로만나는일본어,3,3.0,0.0,,"일반(글로벌언어와 문화) 화1,2,3(I304)",1,박정원,nan
139,전체,교선,HBLA5068,뉴노멀시대와교육,3,3.0,0.0,,"일반(인간과사회) 목4,5,6(I211)",1,조금주,nan
140,전체,교선,HBLA5069,영상으로보는교육이야기,3,3.0,0.0,,"일반(인간과사회) 수4,5,6(I211)",1,조금주,nan
141,전체,교선,HBLA5071,모바일비즈니스와앱,3,3.0,0.0,균형(공학),"월3,4,5(I108)",1,박현주,nan
142,전체,교선,HBLA5073,재미있는푸드이야기,3,3.0,0.0,,"일반(생활과건강) 월6,7,8(I212)",1,이진영,nan
143,전체,교선,HBLA5203,약의과학이야기,3,3.0,0.0,,"일반(생활과건강) 화1,2,3(I212)",1,이승호,nan
144,전체,교선,HBLA5204,융복합시대의사유와물음,3,3.0,0.0,균형(인문),"화4,5,6(I212)",1,"김현주,양영하,장지현",
145,전체,교선,HBLA5207,바디디자인,3,1.0,2.0,,"일반(생활과건강) 월1,2,3(K212) 월1,2,3(I203)",1,"이진영,이희화",nan
146,전체,교선,HBLA5208,바이러스와인류역사,3,3.0,0.0,,"일반(과학과환경) 월9,10,11(Z101)",1,이진영,E-러닝 교과목/3~4학년만 수강 가능
147,전체,교선,HBLA5209,인공지능의이해,3,3.0,0.0,,"일반(정보기술과산 업) 화1,2,3(I211)",1,신현준,nan
148,전체,교선,HBLB0011,생활과재테크,3,3.0,0.0,,"일반(인간과사회) 수1,2,3(I211)",1,오동일,nan
149,전체,교선,HBLB1036,생활과경제,3,3.0,0.0,균형(사회),"금4,5,6(I211)",1,최화열,nan
150,전체,교선,HBLB5020,현대사회와공간,3,3.0,0.0,균형(예술),"금1,2,3(I307)",1,미정,nan
151,전체,교선,HBLB5031,발명과창업,3,3.0,0.0,,일반(커리어디자인),"화9,10,11(Z101)",1,왕한호 e-러닝 교과목 / 3-4학년만 수강 가능
152,전체,교선,HBLB5032,경영학개론,3,3.0,0.0,균형(사회),"월1,2,3(L404)",1,정강현,nan
153,전체,교선,HBLB5040,디지털창업서비스기획과마케팅,3,1.0,2.0,,"일반(정보기술과산 업) 목5,6,7(C101)",1,박한샘,nan
154,전체,교선,HBLB5059,빅데이터와소셜마케팅,3,3.0,0.0,균형(공학),"월5,6,7(I310)",1,김길환,nan
155,전체,교선,HBLB5061,수학의길잡이,3,3.0,0.0,균형(자연),"화5,6,7(I209)",1,김신욱,nan
156,전체,교선,HBLB5062,시민과헌법,3,3.0,0.0,,"일반(인간과사회) 목7,8,9(I211)",1,전우석,nan
157,전체,교선,HBLB5064,하이테크사회의인간관계론,3,3.0,0.0,,"일반(인간과사회) 수1,2,3(I210)",1,장지현,nan
